company,device,price,year,announced,dim_length,dim_breadth,dim_thickness,weight,display_tech,display_size,px_row,px_col,aspect_row,aspect_col,camera,video,cam_px,selfie,sel_px,sim_no,os,os_type,card_slot,chipset,cpu,gpu,ram,LTE,gps,radio,nfc,wlan,audio_jack,battery_mah,bt_v
Lava,Z60,6500,2017,"2017, September",143.6,72.3,9.1,149,"IPS LCD capacitive touchscreen, 16M colors",5,480,854,16,9,"5 MP, f/2.0, autofocus, LED flash",1080p@30fps,5,"5 MP, LED flash",5,2,Android 7.0 (Nougat),Android,microSD,Mediatek MT6737M,Quad-core 1.1 GHz Cortex-A53,Mali-T720MP2,1,Yes,Yes,Yes,No,Yes,Yes,2500,4
Lava,A97 2GB+,7700,2017,"2017, June",145,72,9.2,160,"IPS LCD capacitive touchscreen, 16M colors",5,480,854,16,9,"8 MP, autofocus, LED flash",720p@30fps,8,"5 MP, LED flash",5,2,Android 7.0 (Nougat),Android,microSD,Spreadtrum SC9832,Quad-core 1.3 GHz,Mali-400,2,Yes,Yes,Yes,No,Yes,Yes,2350,4
Lava,A44,5400,2017,"2017, June",123,63.7,10.1,141,TN capacitive touchscreen,4,480,854,16,9,"5 MP, LED flash",Yes,5,"2 MP, LED",2,2,Android 7.0 (Nougat),Android,microSD,Mediatek MT6737M,Quad-core 1.1 GHz Cortex-A53,Mali-T720MP1,1,Yes,Yes,Yes,No,Yes,Yes,1500,NA
Lava,A77,6099,2017,"2017, May",135,67.2,9.5,140,"TN capacitive touchscreen, 16M colors",4.5,480,854,16,9,"5 MP, LED flash",Yes,5,"5 MP, LED flash",5,2,Android 6.0 (Marshmallow),Android,microSD,Spreadtrum SC9832,Quad-core 1.3 GHz,Mali-400,1,Yes,Yes,Yes,No,Yes,Yes,2000,4
Lava,Z25,250,2017,"2017, March",151.5,76.4,8.5,163,"IPS LCD capacitive touchscreen, 16M colors",5.5,720,1280,16,9,"13 MP (f/2.0, 1/3"", 1.12 Âµm), phase detection autofocus, dual-LED flash",1080p@30fps,13,"8 MP, f/2.0, LED flash",8,2,Android 6.0 (Marshmallow),Android,microSD,Mediatek MT6750,Octa-core 1.5 GHz Cortex-A53,Mali-T860MP2,4,Yes,Yes,Yes,No,Yes,Yes,3020,4
Lava,Z10,160,2017,"2017, March",143.2,71,8.4,148,"IPS LCD capacitive touchscreen, 16M colors",5,720,1280,16,9,"8 MP (f/2.0, 1.4 Âµm), autofocus, LED flash",720p@30fps,8,"5 MP (1.4 Âµm), LED flash",5,2,Android 6.0 (Marshmallow),Android,microSD,Mediatek MT6737,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,3,Yes,Yes,Yes,No,Yes,Yes,2620,4
Lava,X28 Plus,NA,2017,"2017, February",155,78,9,175,"IPS LCD capacitive touchscreen, 16M colors",5.5,720,1280,16,9,"8 MP, autofocus, LED flash",1080p@30fps,8,"5 MP, LED flash",5,2,Android 6.0 (Marshmallow),Android,microSD,NA,Quad-core 1.3 GHz,NA,1,Yes,Yes,Yes,No,Yes,Yes,2600,4
Lava,A73,NA,2017,"2017, February",145.5,72.8,9.3,NA,TN capacitive touchscreen,5,480,854,16,9,"5 MP, LED flash",720p@30fps,5,"5 MP, LED flash",5,2,Android 6.0 (Marshmallow),Android,microSD,NA,Quad-core 1.2 GHz,NA,1,No,Yes,Yes,No,Yes,Yes,2000,4
Lava,X19,NA,2016,"2016, December",145.5,72.6,8.9,NA,"IPS LCD capacitive touchscreen, 16M colors",5,720,1280,16,9,"8 MP, autofocus, LED flash",Yes,8,"5 MP, LED flash",5,2,Android 6.0 (Marshmallow),Android,microSD,NA,Quad-core 1.3 GHz,NA,2,No,Yes,Yes,No,Yes,Yes,2200,4
Lava,A55,NA,2016,"2016, November",123,63.4,9.7,NA,"TFT capacitive touchscreen, 16M colors",4,480,800,5,3,"5 MP, LED flash",Yes,5,VGA,0.3,2,Android 6.0 (Marshmallow),Android,microSD,NA,Quad-core 1.2 GHz,NA,1,No,Yes,Yes,No,Yes,Yes,1550,2.1
Lava,A50,NA,2016,"2016, November",123,63.4,9.7,NA,"TFT capacitive touchscreen, 16M colors",4,480,800,5,3,"5 MP, LED flash",Yes,5,VGA,0.3,2,Android 6.0 (Marshmallow),Android,microSD,NA,Quad-core 1.2 GHz,NA,0.5,No,Yes,Yes,No,Yes,Yes,1550,2.1
Lava,X50 Plus,NA,2016,"2016, November",155,71.8,8.9,158,"IPS LCD capacitive touchscreen, 16M colors",5.5,720,1280,16,9,"8 MP, autofocus, LED flash",1080p@30fps,8,"5 MP, LED flash",5,2,"Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow)",Android,microSD,NA,Quad-core,NA,2,Yes,Yes,Yes,No,Yes,Yes,2800,4
Lava,X41 Plus,NA,2016,"2016, October",145,71.2,8.8,156,"IPS LCD capacitive touchscreen, 16M colors",5,720,1280,16,9,"8 MP (f/2.0, 1.4 Âµm) LED flash",1080p@30fps,8,"5 MP, f/2.2, LED flash",5,2,Android 6.0 (Marshmallow),Android,microSD,NA,Quad-core 1.3 GHz,NA,2,Yes,Yes,Yes,No,Yes,Yes,2500,4
Lava,A51,NA,2016,"2016, October",136,66,9.9,NA,"TFT capacitive touchscreen, 16M colors",4.5,480,854,16,9,"5 MP, LED flash",Yes,5,VGA,0.3,2,Android 6.0 (Marshmallow),Android,microSD,Spreadtrum SC7731C,Quad-core 1.2 GHz,NA,0.5,No,Yes,Yes,No,Yes,Yes,1750,2.1
Lava,A76+,NA,2016,"2016, October",134,66,9.3,135,"TFT capacitive touchscreen, 16M colors",4.5,480,854,16,9,"5 MP, LED flash",Yes,5,"5 MP, LED flash",5,2,Android 6.0 (Marshmallow),Android,microSD,NA,Quad-core 1.5 GHz,NA,1,Yes,Yes,Yes,No,Yes,Yes,1850,4
